2026-01-06 18:06:03 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/403.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 20:02:46 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/create.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 20:02:52 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/index.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 22:02:47 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/edit.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 22:07:26 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/edit.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 22:09:59 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/edit.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 22:16:30 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/edit.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 22:16:34 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/index.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 22:16:45 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/edit.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 23:07:09 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/hibos/edit.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 23:26:17 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/HIBOS%20PROJECT(CRM)/hibos/create.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 23:26:24 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/HIBOS%20PROJECT(CRM)/hibos/index.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 23:26:31 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/HIBOS%20PROJECT(CRM)/hibos/index.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 23:28:41 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/HIBOS%20PROJECT(CRM)/hibos/index.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
2026-01-06 23:38:37 - 403 Access - IP: ::1 - URL: /HIBOS%20PROJECT(CRM)/HIBOS%20PROJECT(CRM)/hibos/index.php - User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
